text,category,intent,customer_tier,source_channel,sla_hours_remaining,ticket_age_hours,repeat_contact_count,urgency_keyword_score,exclamation_count,all_caps_ratio,customer_sentiment,business_impact,priority
can you tell me more about my newsletter subscription?,Subscription & Account Management,newsletter_subscription,Free,freshdesk,16.2,55.8,0,0,0,0.0,Neutral,Minor,Low
how can I inform of sign-up issues?,Account & Authentication,registration_problems,Free,salesforce,-36.9,108.9,0,0,0,0.0,Frustrated,Moderate,High
help to get in touch with customer support,General Inquiries,contact_customer_service,Free,salesforce,56.7,15.3,0,0,0,0.0,Neutral,Minor,Low
I have to change to the goddamn account,Account & Authentication,switch_account,Free,zendesk,52.6,19.4,0,0,0,0.0,Frustrated,Moderate,High
i cannot make a payment where do i report an error,Billing & Payments,payment_issue,Free,zendesk,7.4,64.6,1,0,0,0.0,Frustrated,Moderate,High
I don't know what I have to do to see your refund policy,Returns & Refunds,check_refund_policy,Basic,website,8.2,39.8,0,0,0,0.0,Neutral,Minor,Medium
i do not know what i have to do to check bill #37777,Billing & Payments,check_invoice,Basic,email,48.0,0.0,0,0,0,0.0,Neutral,Moderate,Medium
directing to person,General Inquiries,contact_human_agent,Basic,website,-6.6,54.6,0,0,0,0.0,Frustrated,Moderate,High
I need help to make a complaint against your business,Complaints & Escalations,complaint,Basic,zendesk,13.4,34.6,0,0,0,0.0,Frustrated,Moderate,High
I want help submitting feedbacki about your services,Customer Feedback,review,Pro,email,2.3,21.7,1,0,0,0.0,Neutral,Minor,Low
do ya have an e-mail to contact customer support,General Inquiries,contact_customer_service,Basic,website,48.0,0.0,0,0,0,0.0,Neutral,Minor,Low
I need support changing the delivery address,Orders & Shipping,change_shipping_address,Pro,freshdesk,-5.5,29.5,0,0,0,0.0,Frustrated,Moderate,High
"I have to contact customer assistance, can I get some help?",General Inquiries,contact_customer_service,Free,freshdesk,-83.5,155.5,0,0,0,0.0,Neutral,Minor,Medium
I want help cancelling the newsletter subscripotion,Subscription & Account Management,newsletter_subscription,Basic,email,39.6,8.4,0,1,0,0.0,Neutral,Minor,Low
"I have got to contact customer assistance, I need help",General Inquiries,contact_customer_service,Free,website,67.1,4.9,0,0,0,0.0,Frustrated,Minor,Medium
information about canceling the newsletter subscription,Subscription & Account Management,newsletter_subscription,Enterprise,salesforce,-3.0,11.0,1,0,0,0.0,Frustrated,Moderate,High
what do I need to do to see the terminbation fee?,Returns & Refunds,check_cancellation_fee,Enterprise,email,-0.1,8.1,1,0,0,0.0,Frustrated,Moderate,High
I try to lodge a consumer claim against your organization,Complaints & Escalations,complaint,Basic,website,-24.7,72.7,0,0,0,0.0,Frustrated,Moderate,High
where tofile a consumer claim against ur company,Complaints & Escalations,complaint,Enterprise,website,4.7,3.3,1,0,0,0.0,Frustrated,Moderate,Medium
I do not know what to do to speak to an agent,General Inquiries,contact_human_agent,Free,zendesk,30.1,41.9,0,0,0,0.0,Neutral,Minor,Medium
help me see your accepted payment options,Billing & Payments,check_payment_methods,Enterprise,salesforce,1.7,6.3,0,0,0,0.0,Neutral,Minor,Medium
i try to leave efedback for ur company,Customer Feedback,review,Basic,email,48.0,0.0,0,0,0,0.0,Positive,Minor,Low
how to cancel a account?,Account & Authentication,delete_account,Free,email,26.9,45.1,0,0,0,0.0,Neutral,Minor,Medium
assistance seeing ur available payment options,Billing & Payments,check_payment_methods,Enterprise,salesforce,-4.7,12.7,1,0,0,0.0,Frustrated,Moderate,High
is there an e-mail to submit a comment for your services?,Customer Feedback,review,Basic,website,37.4,10.6,0,0,0,0.0,Neutral,Minor,Low
another standard account for father,Account & Authentication,create_account,Free,salesforce,12.5,59.5,0,0,0,0.0,Neutral,Minor,Low
i have an issue modifying the shipping address,Orders & Shipping,change_shipping_address,Free,website,-26.9,98.9,0,0,0,0.0,Frustrated,Moderate,High
help to subscribe to ur company newsletter,Subscription & Account Management,newsletter_subscription,Basic,zendesk,48.0,0.0,0,0,0,0.0,Neutral,Minor,Low
where do I check the accepted payment methods?,Billing & Payments,check_payment_methods,Basic,salesforce,-26.7,74.7,0,0,0,0.0,Neutral,Minor,Low
information about editing purchase,Orders & Shipping,change_order,Free,email,7.1,64.9,0,0,0,0.0,Neutral,Minor,Medium
I want assistance to inform of an issue with a signup,Account & Authentication,registration_problems,Enterprise,email,4.7,3.3,0,0,0,0.0,Neutral,Moderate,Medium
chcek order current status,Orders & Shipping,track_order,Basic,email,48.0,0.0,0,0,0,0.0,Neutral,Minor,Low
I am looking for shipping periods,Orders & Shipping,delivery_period,Basic,website,43.9,4.1,0,0,0,0.0,Neutral,Minor,Low
I do not know what I hae to do to close the account,Account & Authentication,delete_account,Basic,email,-40.3,88.3,0,0,0,0.0,Frustrated,Moderate,High
where could I receive your company newsletter?,Subscription & Account Management,newsletter_subscription,Free,email,-6.0,78.0,0,0,0,0.0,Neutral,Minor,Low
do you have a free customer assistance phone number?,General Inquiries,contact_customer_service,Free,website,1.8,70.2,0,0,0,0.0,Neutral,Minor,Medium
I'd like to list the fucking payment methods how do i do it,Billing & Payments,check_payment_methods,Free,website,10.2,61.8,0,0,0,0.0,Frustrated,Moderate,High
I try to remove some articles from order,Orders & Shipping,change_order,Free,website,-24.4,96.4,0,0,0,0.0,Neutral,Minor,Medium
i need infrmation about the cancellation of my account,Account & Authentication,delete_account,Free,zendesk,72.0,0.0,0,0,0,0.0,Neutral,Minor,Medium
where can I check the payment options?,Billing & Payments,check_payment_methods,Free,freshdesk,42.0,30.0,1,0,0,0.0,Neutral,Minor,Low
can ya help me to leave a review about a esrvice,Customer Feedback,review,Free,website,61.4,10.6,0,0,0,0.0,Neutral,Minor,Low
help me check the ETA of order,Orders & Shipping,track_order,Basic,website,24.2,23.8,0,0,0,0.14285714285714285,Neutral,Minor,Medium
where do I see at what time I can contact customer support?,General Inquiries,contact_customer_service,Free,zendesk,66.2,5.8,1,0,0,0.0,Neutral,Minor,Low
hdlp me to make a consumer complaint against your company,Complaints & Escalations,complaint,Free,website,66.1,5.9,0,0,0,0.0,Frustrated,Moderate,Medium
"I need to know if there are any news on my rebate, help me",Returns & Refunds,track_refund,Basic,email,29.4,18.6,0,0,0,0.0,Neutral,Moderate,Medium
can you help me call fucking customer sujpport?,General Inquiries,contact_customer_service,Free,zendesk,72.0,0.0,1,0,0,0.0,Frustrated,Moderate,High
"I have ordered some item, cancel purchase",Orders & Shipping,cancel_order,Enterprise,email,8.0,0.0,1,0,0,0.0,Frustrated,Moderate,Medium
do you have a method to submit some feedback?,Customer Feedback,review,Free,email,58.2,13.8,0,0,0,0.0,Neutral,Minor,Low
I need help to call damn customer support,General Inquiries,contact_customer_service,Free,email,-17.5,89.5,2,0,0,0.0,Frustrated,Moderate,High
assistance canceling the newsletter subscription,Subscription & Account Management,newsletter_subscription,Free,website,-33.9,105.9,0,0,0,0.0,Neutral,Moderate,Medium
help me see what payment options ya accept,Billing & Payments,check_payment_methods,Pro,email,-1.0,25.0,0,0,0,0.0,Neutral,Minor,Low
information about receiving ur newsletter,Subscription & Account Management,newsletter_subscription,Basic,freshdesk,-27.9,75.9,0,0,0,0.0,Neutral,Minor,Low
I do not know how I can file a claim,Complaints & Escalations,complaint,Free,website,-11.6,83.6,0,0,0,0.0,Frustrated,Moderate,High
modifying details on account,Account & Authentication,edit_account,Enterprise,email,-4.6,12.6,2,0,0,0.0,Frustrated,Moderate,High
assistance to talk with bloody customer supprt,General Inquiries,contact_customer_service,Basic,zendesk,-3.7,51.7,0,0,0,0.0,Frustrated,Moderate,High
i do not know how i can set up the delivery address,Orders & Shipping,set_up_shipping_address,Free,zendesk,-20.2,92.2,0,0,0,0.0,Frustrated,Moderate,High
"I have to submit the new delivery address, how can I do it?",Orders & Shipping,set_up_shipping_address,Pro,website,17.8,6.2,0,0,0,0.0,Neutral,Minor,Medium
subscribe to company newsletter,Subscription & Account Management,newsletter_subscription,Free,website,-50.6,122.6,0,0,0,0.0,Neutral,Minor,Low
I need to file a reclamation against your organization,Complaints & Escalations,complaint,Basic,zendesk,37.9,10.1,0,0,0,0.0,Angry,Severe,High
I want assistance unsubscribing to the newsletter,Subscription & Account Management,newsletter_subscription,Free,email,6.1,65.9,0,0,0,0.0,Neutral,Minor,Low
i need assistance acquiring several items,Orders & Shipping,place_order,Basic,website,4.4,43.6,0,0,0,0.0,Neutral,Minor,Medium
i dont khow how to cancel order,Orders & Shipping,cancel_order,Free,email,38.7,33.3,0,0,0,0.0,Neutral,Minor,Low
i have problems with a forgotten password,Account & Authentication,recover_password,Enterprise,zendesk,2.3,5.7,2,0,0,0.0,Frustrated,Moderate,Medium
help to casncel my subscription to your company newsletter,Subscription & Account Management,newsletter_subscription,Pro,website,14.9,9.1,1,0,0,0.0,Neutral,Minor,Low
where do i take a quick look at the bill #37777,Billing & Payments,check_invoice,Free,salesforce,-25.4,97.4,0,0,0,0.0,Neutral,Minor,Low
i do not know how to see the cancellation penalty,Returns & Refunds,check_cancellation_fee,Free,website,22.6,49.4,0,0,0,0.0,Neutral,Minor,Low
I need help to get in touch with customer support,General Inquiries,contact_customer_service,Free,email,-21.0,93.0,0,0,0,0.0,Frustrated,Moderate,High
check invoice from June,Billing & Payments,check_invoice,Basic,email,11.9,36.1,0,0,0,0.0,Neutral,Minor,Low
I don't know what to do to talk to someone,General Inquiries,contact_human_agent,Pro,website,10.3,13.7,0,0,0,0.0,Neutral,Minor,Medium
i have got to see the accepted payment options,Billing & Payments,check_payment_methods,Pro,website,2.7,21.3,2,0,0,0.0,Neutral,Minor,Medium
see the early exit charges,Returns & Refunds,check_cancellation_fee,Free,website,15.4,56.6,0,0,0,0.0,Frustrated,Minor,Medium
help me seeing how soon can i expect the product,Orders & Shipping,delivery_period,Free,website,14.5,57.5,0,0,0,0.0,Neutral,Minor,Medium
I try to check your damn money back guarantee,Returns & Refunds,check_refund_policy,Basic,zendesk,-1.2,49.2,0,0,0,0.0,Frustrated,Moderate,High
I need assistance to contact somebody,General Inquiries,contact_human_agent,Pro,freshdesk,7.2,16.8,0,0,0,0.0,Neutral,Minor,Low
how can i file a complaint against ur organization,Complaints & Escalations,complaint,Basic,email,12.3,35.7,0,0,0,0.0,Frustrated,Moderate,High
remove article from purchase,Orders & Shipping,change_order,Free,salesforce,0.2,71.8,0,0,0,0.0,Neutral,Minor,Low
subscription to your company newsletter,Subscription & Account Management,newsletter_subscription,Basic,website,41.7,6.3,0,0,0,0.0,Neutral,Minor,Low
I do not know what I need to do to purchase some products,Orders & Shipping,place_order,Free,email,-23.1,95.1,0,0,0,0.0,Neutral,Minor,Medium
want help to delete some items from order,Orders & Shipping,change_order,Free,website,31.1,40.9,0,0,0,0.0,Neutral,Minor,Medium
I'm trying to write a review for ur company,Customer Feedback,review,Basic,website,48.0,0.0,0,0,0,0.0,Neutral,Minor,Low
is it possible to retrieve my user account password?,Account & Authentication,recover_password,Pro,zendesk,-5.7,29.7,1,0,0,0.0,Frustrated,Moderate,High
do you have an e-mail to send feedback about your company?,Customer Feedback,review,Basic,zendesk,-7.4,55.4,0,0,0,0.0,Neutral,Minor,Low
need to notify of an error with sign-up,Account & Authentication,registration_problems,Basic,email,30.2,17.8,0,0,0,0.0,Frustrated,Moderate,High
error setting a new shipping address up,Orders & Shipping,set_up_shipping_address,Enterprise,salesforce,8.0,0.0,1,0,0,0.0,Frustrated,Moderate,High
I don't know how to contact an asgent,General Inquiries,contact_human_agent,Basic,website,13.6,34.4,0,0,0,0.0,Neutral,Minor,Low
i try to send feedback about ur services,Customer Feedback,review,Free,zendesk,-16.3,88.3,0,0,0,0.0,Frustrated,Moderate,Medium
what do i need to do to switch to the premium account,Account & Authentication,switch_account,Free,freshdesk,-21.7,93.7,0,0,0,0.0,Neutral,Moderate,Medium
I can't speak with a live agent,General Inquiries,contact_human_agent,Basic,email,6.7,41.3,0,0,0,0.0,Frustrated,Moderate,Medium
reporting issues with payment,Billing & Payments,payment_issue,Basic,email,15.5,32.5,0,0,0,0.0,Frustrated,Moderate,High
can I see the withdrawal charges?,Returns & Refunds,check_cancellation_fee,Free,website,-61.9,133.9,0,0,0,0.0,Neutral,Minor,Low
help me lodge a complaint against ur business,Complaints & Escalations,complaint,Free,email,-14.7,86.7,0,0,0,0.0,Angry,Severe,High
i cannot make a payment help me inform of fucking issues,Billing & Payments,payment_issue,Basic,freshdesk,39.3,8.7,0,0,0,0.0,Frustrated,Moderate,High
want help filing a customer claim against ur organization,Complaints & Escalations,complaint,Free,email,15.9,56.1,0,0,0,0.0,Frustrated,Moderate,High
I want to locate purchase,Orders & Shipping,track_order,Free,website,16.9,55.1,0,0,0,0.0,Neutral,Minor,Medium
assistance to see the withdrawal fees,Returns & Refunds,check_cancellation_fee,Basic,email,4.7,43.3,1,0,0,0.0,Neutral,Minor,Low
check the accepted payment modalities,Billing & Payments,check_payment_methods,Enterprise,website,4.5,3.5,2,0,0,0.0,Neutral,Minor,Medium
how can I check your payment methods?,Billing & Payments,check_payment_methods,Pro,email,10.2,13.8,0,0,0,0.0,Neutral,Minor,Medium
can you help me to use the profile?,Account & Authentication,switch_account,Pro,website,-17.3,41.3,1,0,0,0.0,Frustrated,Moderate,High
clsoe premium account,Account & Authentication,delete_account,Pro,zendesk,24.0,0.0,0,0,0,0.0,Frustrated,Moderate,Medium
do you have an e-mail to leave my feedback?,Customer Feedback,review,Basic,email,-2.8,50.8,0,0,0,0.0,Neutral,Minor,Low
show me in which cases can I ask for my money back,Returns & Refunds,check_refund_policy,Pro,salesforce,8.5,15.5,2,0,0,0.0,Neutral,Minor,Medium
I have got to check what payment methods are available,Billing & Payments,check_payment_methods,Free,email,60.7,11.3,0,0,0,0.0,Neutral,Minor,Low
can you help me to speak with customer support?,General Inquiries,contact_customer_service,Free,email,-14.8,86.8,0,0,0,0.0,Frustrated,Moderate,High
i try to see in which situations can i ask for refunds,Returns & Refunds,check_refund_policy,Pro,website,8.0,16.0,0,0,0,0.0,Neutral,Minor,Medium
how do I list the accepted payment options?,Billing & Payments,check_payment_methods,Free,website,56.2,15.8,1,0,0,0.0,Neutral,Minor,Low
i want help checking in what cases can i ask for a refund,Returns & Refunds,check_refund_policy,Pro,zendesk,21.1,2.9,1,0,0,0.0,Neutral,Minor,Medium
in which cases can i ask to be reimbursed,Returns & Refunds,check_refund_policy,Basic,zendesk,24.3,23.7,0,0,0,0.0,Neutral,Minor,Medium
want assistance cancelling my subscription to ur newsletter,Subscription & Account Management,newsletter_subscription,Basic,email,29.8,18.2,1,1,0,0.0,Neutral,Minor,Low
can i see in what situations can i ask for reimbursements,Returns & Refunds,check_refund_policy,Enterprise,freshdesk,-0.1,8.1,1,0,0,0.0,Neutral,Minor,Medium
need assistance purchasing some of ur article,Orders & Shipping,place_order,Free,website,-11.4,83.4,1,0,0,0.0,Frustrated,Moderate,High
I want assistance to leave a comment about your company,Customer Feedback,review,Pro,freshdesk,9.4,14.6,1,0,0,0.0,Neutral,Minor,Low
I have got to cancel the newsletter subscription,Subscription & Account Management,newsletter_subscription,Enterprise,email,3.1,4.9,1,0,0,0.0,Frustrated,Moderate,High
I'm trying to see in what cases can i ask for my money back,Returns & Refunds,check_refund_policy,Enterprise,website,5.0,3.0,0,0,0,0.0,Neutral,Minor,Medium
i have to sue the profile how can i do it,Account & Authentication,switch_account,Free,website,-3.8,75.8,0,0,0,0.0,Frustrated,Moderate,High
show cancellation charges,Returns & Refunds,check_cancellation_fee,Pro,salesforce,11.1,12.9,0,0,0,0.0,Neutral,Minor,Medium
I want assistance to get my invoices from,Billing & Payments,get_invoice,Basic,zendesk,46.3,1.7,0,0,0,0.0,Neutral,Minor,Medium
transferring to agent,General Inquiries,contact_human_agent,Free,freshdesk,41.2,30.8,0,0,0,0.0,Neutral,Minor,Medium
how can I acquire several of your article?,Orders & Shipping,place_order,Enterprise,email,-0.8,8.8,2,0,0,0.0,Frustrated,Moderate,Medium
I don't know what I have to do to file a customer complaint,Complaints & Escalations,complaint,Basic,email,7.4,40.6,0,0,0,0.0,Frustrated,Minor,Medium
i want help to write a opinion for ur products,Customer Feedback,review,Enterprise,zendesk,6.7,1.3,1,0,0,0.0,Neutral,Minor,Medium
