text,category,intent,split
i want assistance to notify of a goddamn signup problem,Account & Authentication,registration_problems,train
i have to switch to the pro account,Account & Authentication,switch_account,train
change information on Freemiumaccount,Account & Authentication,edit_account,train
is it possible to retrieve the pin code of my account,Account & Authentication,recover_password,train
"I have to report a sign-up error, how to do it?",Account & Authentication,registration_problems,train
need assistance to notify of errors with a registration,Account & Authentication,registration_problems,train
"I have lost my profile access key, where can I recover it?",Account & Authentication,recover_password,train
how can I reset my profile pass?,Account & Authentication,recover_password,train
I do not know how I can inform of problems with signuo,Account & Authentication,registration_problems,train
question about a PIN code reset,Account & Authentication,recover_password,train
want assistance to inform of problems with a registration,Account & Authentication,registration_problems,train
I do not know how to recover my profile password,Account & Authentication,recover_password,train
I don't know how I could report a problem with registrations,Account & Authentication,registration_problems,train
where do I retrieve the key of my user profile?,Account & Authentication,recover_password,train
"I need to notify of errors with signup, will you help me?",Account & Authentication,registration_problems,train
edit freemium account,Account & Authentication,edit_account,train
I'm experiencing errors registering what do i have to do,Account & Authentication,registration_problems,train
wherer to restore the pwd of my user profile,Account & Authentication,recover_password,train
"I want to modify the user data, I need help",Account & Authentication,edit_account,train
correct information on standardaccount,Account & Authentication,edit_account,train
need help canging to the premium account,Account & Authentication,switch_account,train
wanna modify the details on my user profile can ya help me,Account & Authentication,edit_account,train
how do I switch to the account?,Account & Authentication,switch_account,train
reset the key of my profile,Account & Authentication,recover_password,train
is it possible to inform of a sign-up issue,Account & Authentication,registration_problems,train
I do not know what I need to do to change to the acount,Account & Authentication,switch_account,train
"I am experiencing issues trying to sign up, what can I do ?",Account & Authentication,registration_problems,train
update data on premium account,Account & Authentication,edit_account,train
I need help to update the information on my user profile,Account & Authentication,edit_account,train
"I have got to notify of registration problems, help me",Account & Authentication,registration_problems,train
i have got to retrieve the pass of my user prodile,Account & Authentication,recover_password,train
modify accunt,Account & Authentication,edit_account,train
how to correct my user data?,Account & Authentication,edit_account,train
updating details on freemium account,Account & Authentication,edit_account,train
"I have got to use the gold profile, can you help me?",Account & Authentication,switch_account,train
I am looking for information about my password reset,Account & Authentication,recover_password,train
i have got to correct the information included on my user,Account & Authentication,edit_account,train
i cannotrestore the bloody password of my user account,Account & Authentication,recover_password,train
"I cannot register, where do I report damn sign-up problems?",Account & Authentication,registration_problems,train
modifying ingormation on account,Account & Authentication,edit_account,train
need to update my user information how can i do it,Account & Authentication,edit_account,train
want assistance updating my account,Account & Authentication,edit_account,train
want assistance informing of sign-up issuues,Account & Authentication,registration_problems,train
"I cannot open an account, I have to inform of a signup issue",Account & Authentication,registration_problems,train
switch to freemium account,Account & Authentication,switch_account,train
how to recove the pin of my profile,Account & Authentication,recover_password,train
I need information about the access key reset,Account & Authentication,recover_password,train
I don't know how I can change to the premium account,Account & Authentication,switch_account,train
question about a pass recovery,Account & Authentication,recover_password,train
"I have lost my password, oculd you help me to recover it?",Account & Authentication,recover_password,train
correct information on premium account,Account & Authentication,edit_account,train
I need assistance reporting an issue with bloody signup,Account & Authentication,registration_problems,train
I do not know what I need to do to inform of a signup issue,Account & Authentication,registration_problems,train
I want assistance to reset the PIN of my profile,Account & Authentication,recover_password,train
i have got to switch to the account,Account & Authentication,switch_account,train
where to inform of issues with a signup?,Account & Authentication,registration_problems,train
modify account,Account & Authentication,edit_account,train
i want help using the profile,Account & Authentication,switch_account,train
how do i use the standard profile,Account & Authentication,switch_account,train
"I have to edit the info on my profile, how to do it?",Account & Authentication,edit_account,train
i habe a problem with my pin retrieval,Account & Authentication,recover_password,train
what do i have to do to notify of signup errors,Account & Authentication,registration_problems,train
how to recover the key of my user account?,Account & Authentication,recover_password,train
notifying o issues with signup,Account & Authentication,registration_problems,train
I want help recovering the key of my profile,Account & Authentication,recover_password,train
wantassistance to change to the account,Account & Authentication,switch_account,train
I do not know how to reset the pass of my profile,Account & Authentication,recover_password,train
want help to report issues with signup,Account & Authentication,registration_problems,train
updating data on pro account,Account & Authentication,edit_account,train
want help restoring the pin code of my user,Account & Authentication,recover_password,train
"I want to retrieve the damn key of my user, I need help",Account & Authentication,recover_password,train
editing informaqtion on pro account,Account & Authentication,edit_account,train
i want assistance to notify of a signup error,Account & Authentication,registration_problems,train
where do i notify of issues with signup,Account & Authentication,registration_problems,train
how to restore the key of my profile,Account & Authentication,recover_password,train
update data on platinum account,Account & Authentication,edit_account,train
"I cannot open a user, how do I inform of signup problems?",Account & Authentication,registration_problems,train
reporting issue opening user,Account & Authentication,registration_problems,train
i cant restore my key,Account & Authentication,recover_password,train
what do I need to do to switch to the account?,Account & Authentication,switch_account,train
assistance using the pro profile,Account & Authentication,switch_account,train
can I notify of problems with signup?,Account & Authentication,registration_problems,train
have a problem with my kiey reset,Account & Authentication,recover_password,train
need to recover my user account pwd,Account & Authentication,recover_password,train
help to correct the information included on my user,Account & Authentication,edit_account,train
can you help me to recober the PIN of my account?,Account & Authentication,recover_password,train
is it possible to inform of a problem with registrations?,Account & Authentication,registration_problems,train
were to inform of a registration error,Account & Authentication,registration_problems,train
can you help me reset my profile access key?,Account & Authentication,recover_password,train
I have signup issues,Account & Authentication,registration_problems,train
question about the lost pin code,Account & Authentication,recover_password,train
need to reset the password of my user account,Account & Authentication,recover_password,train
find information about my passreset,Account & Authentication,recover_password,train
I want assistance to reset the PIN ocde of my user profile,Account & Authentication,recover_password,train
"I can't open an account, help me report bloody signup issues",Account & Authentication,registration_problems,train
switch to thepremium account,Account & Authentication,switch_account,train
i do not know what to do to modify the user info,Account & Authentication,edit_account,train
I don't know how to change to the pro account,Account & Authentication,switch_account,train
I'm looking for information about lost passwords,Account & Authentication,recover_password,train
I need information about my access key retrieval,Account & Authentication,recover_password,train
"I have to use the freemium profile, I need help",Account & Authentication,switch_account,train
help me switch to the freemium account,Account & Authentication,switch_account,train
chnge data on gold account,Account & Authentication,edit_account,train
updating premium account,Account & Authentication,edit_account,train
where to retreive my key,Account & Authentication,recover_password,train
can i correct the data on my user account,Account & Authentication,edit_account,train
reset the access key of my account,Account & Authentication,recover_password,train
use account,Account & Authentication,switch_account,train
i want help to change to the account,Account & Authentication,switch_account,train
need assistance to use the platinum profile,Account & Authentication,switch_account,train
i have got to notify of ah issue with a registration,Account & Authentication,registration_problems,train
where to notify of an error with signup?,Account & Authentication,registration_problems,train
assistance updating the damn user information,Account & Authentication,edit_account,train
changkng to standard account,Account & Authentication,switch_account,train
I cannot restore my user account pwd,Account & Authentication,recover_password,train
"I forgot the bloody key of my account, where to retrieve it?",Account & Authentication,recover_password,train
want assistance switching to the premium cacount,Account & Authentication,switch_account,train
can i update the information included on my user profile,Account & Authentication,edit_account,train
I cannot reset the key of my account,Account & Authentication,recover_password,train
need assistance recovering the PIN code of my account,Account & Authentication,recover_password,train
correct details onPro account,Account & Authentication,edit_account,train
want assistance notifying of issues with a registration,Account & Authentication,registration_problems,train
change info on gold account,Account & Authentication,edit_account,train
I have to reset the key of my user,Account & Authentication,recover_password,train
i awnt help restoring my pass,Account & Authentication,recover_password,train
i have to change the info on my user account i need help,Account & Authentication,edit_account,train
wanna switch to th account could uhelp me,Account & Authentication,switch_account,train
can you help me retrieve the access key of my user account?,Account & Authentication,recover_password,train
I need help to retrieev my user PIN,Account & Authentication,recover_password,train
need to change to the goddamn gold account could ya help me,Account & Authentication,switch_account,train
could you help me use the gold profile?,Account & Authentication,switch_account,train
i cant change to the account,Account & Authentication,switch_account,train
need to update the details on my user how do i do it,Account & Authentication,edit_account,train
can I report errors with a fucking sign-up?,Account & Authentication,registration_problems,train
changing details on gold account,Account & Authentication,edit_account,train
editing information on premium account,Account & Authentication,edit_account,train
i try to edit the data on my user account,Account & Authentication,edit_account,train
i lost the pass of my user how do i recover it,Account & Authentication,recover_password,train
i need help restoring myt user profile pin code,Account & Authentication,recover_password,train
i do not know what i need to do to inform of signup erors,Account & Authentication,registration_problems,train
need help touse the account,Account & Authentication,switch_account,train
i have to rewet my fucking user pin i need assistance,Account & Authentication,recover_password,train
switch to platinum account,Account & Authentication,switch_account,train
can you help me resetting the pwd of my user?,Account & Authentication,recover_password,train
how can I restore the PIN code of my profile?,Account & Authentication,recover_password,train
i dont know how to change to the platinum account,Account & Authentication,switch_account,train
I have to restore my user account key,Account & Authentication,recover_password,train
I don't know what to do to restore my profile access key,Account & Authentication,recover_password,train
how to reset my account pwd,Account & Authentication,recover_password,train
correct information on freeaccount,Account & Authentication,edit_account,train
modifying data on freemium account,Account & Authentication,edit_account,train
I am experiencing a registration issue,Account & Authentication,registration_problems,train
"I forgot my user account PIN code, help me recover it",Account & Authentication,recover_password,train
what do i need to do to use the premium profile,Account & Authentication,switch_account,train
"I cannot open a profile, can I report bloody signup errors?",Account & Authentication,registration_problems,train
could I restore the access key of my profile?,Account & Authentication,recover_password,train
switch to premium account,Account & Authentication,switch_account,train
updating details on gold account,Account & Authentication,edit_account,train
would it be possible to notify of signup problems ?,Account & Authentication,registration_problems,train
i need assistance to change my personal information,Account & Authentication,edit_account,train
can ya help me retrieving my user pin code,Account & Authentication,recover_password,train
I have got to notify of an issue with registrtions,Account & Authentication,registration_problems,train
chnge data on account,Account & Authentication,edit_account,train
I can't notify of issues with a registration,Account & Authentication,registration_problems,train
correct data on platinum account,Account & Authentication,edit_account,train
correct details onstandard account,Account & Authentication,edit_account,train
"I want to change to the gold account, help me",Account & Authentication,switch_account,train
I want assistance restoring the access key of my profile,Account & Authentication,recover_password,train
use freemium acdcount,Account & Authentication,switch_account,train
can you help me to use the profile?,Account & Authentication,switch_account,train
how can I reset my profile access key?,Account & Authentication,recover_password,train
how can I recover my account password?,Account & Authentication,recover_password,train
need help to modify the details included on my profile,Account & Authentication,edit_account,train
correcting info on pro account,Account & Authentication,edit_account,train
I need assistance to recover the key of my user account,Account & Authentication,recover_password,train
can I change to the premium account?,Account & Authentication,switch_account,train
help to use the pro profile,Account & Authentication,switch_account,train
need help notifying of issueswith sign-up,Account & Authentication,registration_problems,train
modifying info on freemium accoumt,Account & Authentication,edit_account,train
I want assistance switching to the premium account,Account & Authentication,switch_account,train
need help to restore my user account password,Account & Authentication,recover_password,train
help changing to the premium account,Account & Authentication,switch_account,train
restore the password of my user,Account & Authentication,recover_password,train
modify information on freemium account,Account & Authentication,edit_account,train
can you help me informing of an issue with signup?,Account & Authentication,registration_problems,train
I want help to notify of an issue with goddamn sign-up,Account & Authentication,registration_problems,train
help me retrieve my user account pin code,Account & Authentication,recover_password,train
editing info on platinum account,Account & Authentication,edit_account,train
assistance notifying of issues with a registration,Account & Authentication,registration_problems,train
I do not know how I can reset my access key,Account & Authentication,recover_password,train
I do not know how to report a signup error,Account & Authentication,registration_problems,train
i want information about my access key recovery,Account & Authentication,recover_password,train
I do not know how to inform of a sign-up problem,Account & Authentication,registration_problems,train
cnange info on freemium account,Account & Authentication,edit_account,train
i have got to change the details on my user i need help,Account & Authentication,edit_account,train
i do not know what to do to switch to the account,Account & Authentication,switch_account,train
I need help recoveting my user profile key,Account & Authentication,recover_password,train
i have got to correct the user data can i get some help,Account & Authentication,edit_account,train
update inforemation on premium account,Account & Authentication,edit_account,train
correcting information on freemium account,Account & Authentication,edit_account,train
I have an issue with my registration,Account & Authentication,registration_problems,train
I can't notify of a sign-up issue,Account & Authentication,registration_problems,train
can uhelp me retrieving my account pin,Account & Authentication,recover_password,train
where to notify of issues with a registration,Account & Authentication,registration_problems,train
how to retrieve my password?,Account & Authentication,recover_password,train
I need help to restore my user key,Account & Authentication,recover_password,train
i have to notify of sign-up issues,Account & Authentication,registration_problems,train
wznt help to switch to the bloody freemium account,Account & Authentication,switch_account,train
using accouny,Account & Authentication,switch_account,train
I do not know how I can notify of sign-up issues,Account & Authentication,registration_problems,train
want assistance to reset the pin of my account,Account & Authentication,recover_password,train
editing data on pro account,Account & Authentication,edit_account,train
i do not know what to do to reset the password of my profile,Account & Authentication,recover_password,train
correct information on freemium account,Account & Authentication,edit_account,train
I want help to update some of the details on my user account,Account & Authentication,edit_account,train
use freemium account,Account & Authentication,switch_account,train
edit information on pro account,Account & Authentication,edit_account,train
would it be possible to report problems with a sign-up?,Account & Authentication,registration_problems,train
how do I use the premium account?,Account & Authentication,switch_account,train
can you help me to report errors with registrations?,Account & Authentication,registration_problems,train
inform of an error with a signup,Account & Authentication,registration_problems,train
help me reset my PIN,Account & Authentication,recover_password,train
"I need to change to the account, how to do it?",Account & Authentication,switch_account,train
"I have got to edit my account, how to do it?",Account & Authentication,edit_account,train
correct information on Freemiumaccount,Account & Authentication,edit_account,train
editing information on gold account,Account & Authentication,edit_account,train
i have to reset my pwd can ya hepl me,Account & Authentication,recover_password,train
"I want to edit my account, could I get some help?",Account & Authentication,edit_account,train
I need help retrieving my account access key,Account & Authentication,recover_password,train
need to chnange to the account could i get some help,Account & Authentication,switch_account,train
find information about my lost PIN,Account & Authentication,recover_password,train
I try to retrieve my profile access key,Account & Authentication,recover_password,train
I have a question about opening user profiles,Account & Authentication,registration_problems,train
want assistance to use the account,Account & Authentication,switch_account,train
help restoring the password of my profile,Account & Authentication,recover_password,train
"I can't open an account, reportregistration issues",Account & Authentication,registration_problems,train
updating user profile,Account & Authentication,edit_account,train
I cannot report a sign-up error,Account & Authentication,registration_problems,train
i cannot reset my profile access key,Account & Authentication,recover_password,train
is it possible to report issues with sin-up?,Account & Authentication,registration_problems,train
I want to inform of problems with a registration,Account & Authentication,registration_problems,train
where can I change to the account?,Account & Authentication,switch_account,train
where do I inform of problems with registrations?,Account & Authentication,registration_problems,train
correcting data on account,Account & Authentication,edit_account,train
correct information on platinum account,Account & Authentication,edit_account,train
where to inform of errors with sign-up?,Account & Authentication,registration_problems,train
I don't know what to do to change to the freemium account,Account & Authentication,switch_account,train
can you help me to restore my access key?,Account & Authentication,recover_password,train
modify data on platinum account,Account & Authentication,edit_account,train
can you help me to inform of a problem with a registration?,Account & Authentication,registration_problems,train
helpme resetting the pass of my profile,Account & Authentication,recover_password,train
can i inform of rwgistration errors,Account & Authentication,registration_problems,train
how to use tye account?,Account & Authentication,switch_account,train
"I would like to edit my goddamn user, will you help me?",Account & Authentication,edit_account,train
i have to inform of registration errors,Account & Authentication,registration_problems,train
"I would like to edit my goddamn user, I need help",Account & Authentication,edit_account,train
"I have got to edit my damn user, could I get some help?",Account & Authentication,edit_account,train
need help recovering the pin of my profile,Account & Authentication,recover_password,train
how could I inform of a sign-up issue?,Account & Authentication,registration_problems,train
help me retrieving the password of my user,Account & Authentication,recover_password,train
edit info on platinum account,Account & Authentication,edit_account,train
I would like information about the key retrieval,Account & Authentication,recover_password,train
correcting details on account,Account & Authentication,edit_account,train
how do I recover my account PIN code?,Account & Authentication,recover_password,train
is it possible to notify of problems with sign-up?,Account & Authentication,registration_problems,train
mldifying gold account,Account & Authentication,edit_account,train
i want assistance reporting errors with a signup,Account & Authentication,registration_problems,train
i want help to change the info on my user,Account & Authentication,edit_account,train
help me using the account,Account & Authentication,switch_account,train
help to retrieve my user account PIN code,Account & Authentication,recover_password,train
would it be possible to notify of sign-up issues?,Account & Authentication,registration_problems,train
editing data on acocunt,Account & Authentication,edit_account,train
updating details on account,Account & Authentication,edit_account,train
"someone has stolen my user account key, help to restore it",Account & Authentication,recover_password,train
i do not know how to edit my damn account,Account & Authentication,edit_account,train
how to recover my bloody access key?,Account & Authentication,recover_password,train
I'm trying to notify of errors with signup,Account & Authentication,registration_problems,train
I want to change my user info,Account & Authentication,edit_account,train
is it possible to notify of registration problems,Account & Authentication,registration_problems,train
I need help reporting a problem iwth signup,Account & Authentication,registration_problems,train
can uhelp me to restore the access key ofmy account,Account & Authentication,recover_password,train
help me retrieve my profile pin code,Account & Authentication,recover_password,train
how to use the standard profile?,Account & Authentication,switch_account,train
"I cannot remember my user PIN, I would like to restore it",Account & Authentication,recover_password,train
I'm having issues trying to register,Account & Authentication,registration_problems,train
I want assistance to recover my user profile PIN,Account & Authentication,recover_password,train
i dont kno how to inform of an error with a registration,Account & Authentication,registration_problems,train
need to use the profioe can ya help me,Account & Authentication,switch_account,train
modify data on standard account,Account & Authentication,edit_account,train
would it be possible to edit the information on my account?,Account & Authentication,edit_account,train
could you help me changing the info on my user account?,Account & Authentication,edit_account,train
I want assistance informing of issues with sign-up,Account & Authentication,registration_problems,train
assistance to use the premium profile,Account & Authentication,switch_account,train
want help using the account,Account & Authentication,switch_account,train
I would like to report a fucking registration error,Account & Authentication,registration_problems,train
change to freemium acount,Account & Authentication,switch_account,train
can uhelp me change the data on my profile,Account & Authentication,edit_account,train
how do I update the information included on my account?,Account & Authentication,edit_account,train
"I have to use the profile, how to do it?",Account & Authentication,switch_account,train
correcting details on pro account,Account & Authentication,edit_account,train
want assistance editing my personal data,Account & Authentication,edit_account,train
i want assistance to reset my profile password,Account & Authentication,recover_password,train
what do i have to do to restore the pwd of my user account,Account & Authentication,recover_password,train
I need help retrieving my goddamn account password,Account & Authentication,recover_password,train
can you help me switching to the account?,Account & Authentication,switch_account,train
i do not know what to do to chanfe to the damn gold account,Account & Authentication,switch_account,train
how can i notify of an issue with a signup,Account & Authentication,registration_problems,train
I can't recover my user account access key,Account & Authentication,recover_password,train
where can I inform of errors with a bloody signup?,Account & Authentication,registration_problems,train
i try to reoprt issues with sign-up,Account & Authentication,registration_problems,train
i canno notify of errors with a sign-up,Account & Authentication,registration_problems,train
modify pro accunt,Account & Authentication,edit_account,train
how can I notify of an error with a registration?,Account & Authentication,registration_problems,train
I don't know what to do to retrieve the PIN code of my user,Account & Authentication,recover_password,train
how could I edit my goddamn account?,Account & Authentication,edit_account,train
edit account,Account & Authentication,edit_account,train
is it possible to restore my profile key?,Account & Authentication,recover_password,train
I want assistance to switch to the gold account,Account & Authentication,switch_account,train
correct details on gold account,Account & Authentication,edit_account,train
want help to use the standard profile,Account & Authentication,switch_account,train
I don't know what to do to inform of a registration error,Account & Authentication,registration_problems,train
i dont know how i can change to tye account,Account & Authentication,switch_account,train
i have to change my personal data can ya help me,Account & Authentication,edit_account,train
update information on freemium account,Account & Authentication,edit_account,train
help me retrieve the fucking PIN code of my account,Account & Authentication,recover_password,train
change info on freemium account,Account & Authentication,edit_account,train
I don't know what to do to notify of an sisue with sign-up,Account & Authentication,registration_problems,train
can you help me to retrieve the PIN of my profile?,Account & Authentication,recover_password,train
wanna inform of registration issues,Account & Authentication,registration_problems,train
can I notify of an error with registrations?,Account & Authentication,registration_problems,train
help using the freemium account,Account & Authentication,switch_account,train
i do not know what to do to retrieve my profile access key,Account & Authentication,recover_password,train
"I can't remember the PIN of my account, how do I reset it?",Account & Authentication,recover_password,train
"I need to change to the pro account, how can I do it?",Account & Authentication,switch_account,train
modifying data on pro account,Account & Authentication,edit_account,train
"I have to edit my account, could I get some help?",Account & Authentication,edit_account,train
i need assistance to change to the premium account,Account & Authentication,switch_account,train
i want assistance notifying of sign-up errors,Account & Authentication,registration_problems,train
